"","Region","IG","DS","PME","PMWHO","COE","AME","MEE","ANOE","NOE","ME"
"Region","","","","","","","","","","",""
"IG"," 0.43****","","","","","","","","","",""
"DS"," 0.76****"," 0.44****","","","","","","","","",""
"PME","-0.63****","-0.28****","-0.52****","","","","","","","",""
"PMWHO","-0.57****","-0.30****","-0.54****"," 0.64****","","","","","","",""
"COE"," 0.57****"," 0.49****"," 0.78****","-0.38****","-0.43****","","","","","",""
"AME"," 0.06    ","-0.09**  "," 0.06*   "," 0.08*   ","-0.26****","-0.07*   ","","","","",""
"MEE","-0.04    ","-0.07*   "," 0.07*   "," 0.23****","-0.07*   "," 0.26****"," 0.55****","","","",""
"ANOE"," 0.03    ","-0.08*   "," 0.10**  "," 0.07*   ","-0.27****","-0.03    "," 0.97****"," 0.59****","","",""
"NOE"," 0.03    ","-0.07*   "," 0.13****"," 0.09**  ","-0.26****"," 0.04    "," 0.95****"," 0.63****"," 0.98****","",""
"ME"," 0.00    ","-0.02    "," 0.11*** "," 0.21****","-0.19****"," 0.16****"," 0.88****"," 0.85****"," 0.88****"," 0.89****",""
"NOEE"," 0.24****"," 0.01    "," 0.25****","-0.13****","-0.31****"," 0.25****"," 0.71****"," 0.70****"," 0.75****"," 0.81****"," 0.80****"
